Units		Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	BTU/lb	BTU/lb	
Method		ASTM E-1690-95	ASTM E-1755-95	ASTM E-1721-95 and T-250	ASTM E-1721-95 and LAP-004	ASTM E-1721-95	LAP-004	LAP-017	Scott 1979	ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95		ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95	LAP-016	By Summation	ASTM E-1821-96 or E-1758-95	ASTM E-1821-96 or E-1758-95		ASTM E-1755-95	Huffman 1	Huffman 1	AST D-537	By Difference	ASTM D-4239	ASTM E-1755-95	ASTM D-3172	ASTM D-3175	ASTM E-1755-95	ASTM D-2015 moisture free	ASTM D-2015 moisture free	
Samples	Variety	Extractives	Ash	Total Lignin	Total Lignin	Acid-Insoluble Lignin	Acid Soluble Lignin	Acetic acid	Uronic acids	Arabinan	Xylan	Mannan	Galactan	Glucan	Starch	Mass Closure	Cellulose	Hemicellulose [ASTM E-1821-96 or E-1758-95 %m]	Total Lignin	Ash	C	H	N	O	S	Ash	Fixed Carbon	Volatile Matter	Ash	HHV	LHV	Source
Sugarcane Bagasse	Gramineae Saccharum var. 65-7052	12.61	9.4	27.56	NA	NA	NA	NA	0.7	1.12	10.59	0.26	0.25	31.87	NA	94.36	31.87	12.23	27.56	9.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sugarcane Bagasse	Gramineae Saccharum var. 65-7052	5.5	6.84	23.12	NA	NA	NA	NA	2.07	1.52	19.6	0.41	0.51	35.91	NA	95.48	35.91	22.04	23.12	6.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Black Locust	Robinia pseudoacacia	7.33	9.68	16.6	NA	NA	NA	NA	2.86	3	18.03	0.58	1.01	36.4	NA	95.52	36.4	22.62	16.6	9.68	46.03	5.86	0.88	41.37	0.12	9.68	20.6	74.07	9.68	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	7.74	10.24	17.69	NA	NA	NA	NA	3.12	2.54	18.32	0.4	0.95	34.61	NA	95.6	34.61	22.21	17.69	10.24	47.04	5.47	0.68	41.1	0.06	10.24	22	73.09	10.24	7967	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	4.75	9.82	17.77	NA	NA	NA	NA	4.17	2.69	18.97	0.47	0.92	35.82	NA	95.37	35.82	23.04	17.77	9.82	46.52	5.82	0.59	40.37	0.06	9.82	21.66	72.51	9.82	7894	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	11.89	11.04	18.19	NA	NA	NA	NA	3.53	1.89	15.99	0.51	0.73	30.61	NA	94.4	30.61	19.13	18.19	11.04	46.04	5.41	0.64	39.19	0.07	11.04	21	73.2	11.04	7835	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	5.16	11.48	17.39	NA	NA	NA	NA	3.14	2.55	18.94	0.52	0.94	35.76	NA	95.88	35.76	22.96	17.39	11.48	46.71	5.5	0.64	40.64	0.06	11.48	20.04	74.79	11.48	7903	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	3.32	11.42	19.25	NA	NA	NA	NA	4.39	2.42	18.97	0.47	0.96	36.51	NA	97.71	36.51	22.82	19.25	11.42	44.77	5.54	0.74	37.7	0.1	11.42	19.96	71.38	11.42	7911	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	4.42	11.11	17.13	NA	NA	NA	NA	4.53	2.52	18.58	0.42	0.99	35.67	NA	95.37	35.67	22.5	17.13	11.11	47	5.7	0.61	40.68	0.06	11.11	21.84	73.72	11.11	7967	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	3.89	12.54	18.15	NA	NA	NA	NA	1.72	2.46	20.31	0.48	0.92	37.12	NA	97.59	37.12	24.18	18.15	12.54	46.52	6.14	0.73	40.07	0.09	12.54	20.97	72.94	12.54	7697	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	5.02	13.34	19.68	NA	NA	NA	NA	2.84	2.11	19.52	0.54	0.83	34.02	NA	97.9	34.02	23	19.68	13.34	46.26	5.55	0.7	41.04	0.1	13.34	20.28	72.92	13.34	7697	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	4.57	13.46	21.25	NA	NA	NA	NA	3.03	1.91	18.88	0.43	0.71	34.32	NA	98.55	34.32	21.93	21.25	13.46	47.09	5.81	0.73	37.48	0.08	13.46	21.27	70.24	13.46	7848	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	4.29	13.51	18.96	NA	NA	NA	NA	2.94	2.18	19.91	0.55	0.85	35.22	NA	98.42	35.22	23.5	18.96	13.51	48.02	5.83	0.69	36.99	0.09	13.51	22.6	70.59	13.51	7870	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	4.78	11.53	20.24	NA	NA	NA	NA	2.41	2.03	20.25	0.41	0.74	38.12	NA	100.51	38.12	23.42	20.24	11.53	46.75	5.49	0.67	38.4	0.1	11.53	21.89	71.91	11.53	7896	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Corn Stover	Zea mays	5.61	10.06	18.59	NA	NA	NA	NA	2.99	2.42	21.61	0.38	0.87	37.69	NA	100.23	37.69	25.29	18.59	10.06	47	5.66	0.65	41.42	0.06	10.06	21.61	73.59	10.06	7914	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	8.53	2.89	24.08	NA	NA	NA	NA	4.77	1.42	11.55	2.19	1.5	38.29	NA	95.22	38.29	16.66	24.08	2.89	48.76	5.51	1.03	42.27	0.07	2.89	21.54	76.35	2.89	8341	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	10.64	3.67	25.2	NA	NA	NA	NA	6.88	1.75	10.96	1.96	1.74	35.94	NA	98.74	35.94	16.41	25.2	3.67	NA	NA	1.3	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	7.49	2.14	24.43	NA	NA	NA	NA	5.46	1.49	12.31	2.05	1.66	39.25	NA	96.27	39.25	17.51	24.43	2.14	NA	NA	1.03	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	7.52	2.58	24.43	NA	NA	NA	NA	5.53	1.58	12.48	2.05	1.67	39.39	NA	97.24	39.39	17.78	24.43	2.58	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	10.22	2.59	24.89	NA	NA	NA	NA	5.03	1.67	11.08	1.85	1.66	35.34	NA	94.32	35.34	16.26	24.89	2.59	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	5.11	3.4	30.36	NA	NA	NA	NA	5.45	1.74	11.15	2.05	1.85	33.39	NA	94.5	33.39	16.78	30.36	3.4	NA	NA	1.63	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	4.73	2.35	27.44	NA	NA	NA	NA	5.92	1.68	12.19	2.14	1.76	38.55	NA	96.76	38.55	17.76	27.44	2.35	NA	NA	1.09	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	5.61	4.48	28.65	NA	NA	NA	NA	4.36	1.47	10.87	1.91	1.66	32.83	NA	91.84	32.83	15.91	28.65	4.48	49.43	5.18	1.12	39.48	0.07	4.48	22.66	75.25	4.48	8370	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	3.04	2.44	28.83	NA	NA	NA	NA	5.74	1.53	11.82	1.95	1.69	36.24	NA	93.28	36.24	17	28.83	2.44	49.35	5.78	1.28	39.6	0.08	2.44	23.01	75.32	2.44	8458	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	5.03	2.54	26.65	NA	NA	NA	NA	4.7	1.54	10.53	1.9	1.68	36.5	NA	91.07	36.5	15.65	26.65	2.54	46.49	5.55	1.19	41.85	0.09	2.54	22.16	75.53	2.54	8310	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	2.95	3.07	30.92	NA	NA	NA	NA	3.96	1.56	10.93	2.03	1.76	33.16	NA	90.34	33.16	16.28	30.92	3.07	49.49	5.59	1.09	37.37	0.1	3.07	22.85	74.6	3.07	8547	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	1.99	2.07	27.61	NA	NA	NA	NA	4.92	1.39	13.31	2.43	1.63	38.53	NA	93.88	38.53	18.76	27.61	2.07	49.28	5.9	0.7	42.77	0.04	2.07	19.04	79.75	2.07	8448	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	2.35	2.21	30.12	NA	NA	NA	NA	4.8	1.38	13.52	2.24	1.69	36.24	NA	94.54	36.24	18.83	30.12	2.21	50.29	5.56	0.71	40.85	0.04	2.21	23.31	76.06	2.21	8540	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	2.26	2.24	28.26	NA	NA	NA	NA	4.91	1.38	13.8	2.42	1.77	38.43	NA	95.47	38.43	19.36	28.26	2.24	49.65	5.57	0.61	42.56	0.04	2.24	19.44	79.31	2.24	8423	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	2.5	2.31	31.94	NA	NA	NA	NA	4.9	1.58	12.84	2.18	1.73	34.42	NA	94.4	34.42	18.32	31.94	2.31	50.68	5.47	0.81	35.35	0.05	2.31	22.48	75.87	2.31	8570	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	2.52	2.34	31.93	NA	NA	NA	NA	4.77	1.49	13.21	2.18	1.68	34.81	NA	94.93	34.81	18.56	31.93	2.34	50.38	5.86	0.93	38.12	0.06	2.34	21.67	76.47	2.34	8550	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	2.97	3.11	31.61	NA	NA	NA	NA	4.6	1.6	12.65	2.08	1.68	32.7	NA	93.01	32.7	18.02	31.61	3.11	49.48	5.67	0.78	36.03	0.06	3.11	21.69	78.31	3.11	8542	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Sericea Lespedeza	Serala	2.59	2.56	28.89	NA	NA	NA	NA	4.68	1.48	13.8	2.14	1.74	36.95	NA	94.84	36.95	19.16	28.89	2.56	49.59	5.49	0.69	42.26	0.07	2.56	20.16	78.12	2.56	8289	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Switchgrass	Alamo	16.99	5.76	17.56	NA	NA	NA	NA	1.17	2.75	20.42	0.29	0.92	30.97	NA	98.66	30.97	24.39	17.56	5.76	47.27	5.31	0.51	41.59	0.1	5.76	21.57	73.75	5.76	7998	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Switchgrass	Alamo	15.56	6.22	17.4	NA	NA	NA	NA	2.12	2.69	21.67	0.22	0.94	31.85	NA	98.68	31.85	25.53	17.4	6.22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Switchgrass	Alamo	15.2	5.63	17.96	NA	NA	NA	NA	1.03	2.81	22.13	0.21	0.99	33.22	NA	99.17	33.22	26.13	17.96	5.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Switchgrass	Alamo	12.97	4.54	18.53	NA	NA	NA	NA	1.13	2.85	23.7	0.25	1.01	34.94	NA	99.92	34.94	27.81	18.53	4.54	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
Switchgrass	Alamo	15.25	5.21	17.63	NA	NA	NA	NA	1.05	2.87	22.37	0.23	1.04	33.03	NA	98.69	33.03	26.51	17.63	5.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	http://www1.eere.energy.gov/biomass/feedstock_databases.html
