Units	Factor	Factor	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	Mass Percent	kJ/g	kJ/g	Text
Class	Material	Entity	Fixed Carbon	Volatiles	Ash	C	H	O	N	S	Cl	HHV_meas	HHV_calc	Source
Silvicultural	Wood	Eucalyptus	21.3	75.35	3.35	46.04	5.82	44.49	0.3	0	NA	18.64	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Silvicultural	Wood	Subabul wood	18.52	81.02	1.2	48.15	5.87	44.75	0.03	0	NA	19.777	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Silvicultural	Wood	Pine Wood	15.7	73.6	11.3	NA	NA	NA	NA	NA	NA		NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
NA	NA	Es	17.9	82	0.1	47.3	6	46.5	0.1	NA	NA	20.08	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Silvicultural	Wood	Spruce Wood	28.3	70.2	1.5	51.9	6.1	40.9	0.3	NA	NA	20.1	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Silvicultural	Wood	Softwood	28.1	70	1.7	52.1	6.1	41	0.2	NA	NA	20	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Silvicultural	Wood	Red wood	19.92	79.72	0.36	50.64	5.98	42.88	0.05	0.03	NA	20.72	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Silvicultural	Wood	Canyon live Oak	11.3	88.2	0.5	47.84	5.8	45.76	0.07	0.01	NA	18.981	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Silvicultural	Wood	Wood Chips	23.5	76.4	0.1	48.1	5.99	45.74	0.08	0	NA	19.916	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	"Hulls,Skins,Chaff"	Corncob	16.8	82.1	1.1	NA	NA	NA	NA	NA	NA	18.795	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Straw	Corn Stover	17.6	78.7	3.7	NA	NA	NA	NA	NA	NA	17.8	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	"Hulls,Skins,Chaff"	Corncob	12.5	86.5	1	49	5.4	44.6	0.4	NA	NA	17	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	"Hulls,Skins,Chaff"	Corncob	18.54	80.1	1.36	46.58	5.87	45.46	0.47	0.01	NA	18.77	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	NA	Spire-mint	11.8	70.1	18.1	37.23	5.34	33.38	5.95	NA	NA	15.53	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	"Hulls,Skins,Chaff"	Cotton Shells	16.9	68.5	14.6	NA	NA	NA	NA	NA	NA	16.376	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Shell	Coconut Shell Powder	20.58	79.07	0.35	NA	NA	NA	NA	NA	NA	19.675	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Shell	Hazelnut Shell	28.3	69.3	1.4	52.9	5.6	42.7	1.4	NA	NA	19.3	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Shell	Pistachio Shells	16.84	82.03	1.13	48.79	5.91	43.41	0.56	0.01	NA	19.26	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Shell	Macadamia shell	23.68	75.92	0.4	54.41	4.99	39.69	0.36	0.01	NA	21.01	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Pit	Peach Pit	19.8	79.1	1.1	49.14	6.34	43.52	0.48	0.02	NA	19.423	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Industrial	Reclaimed	Plywood	21.8	74.2	4	NA	NA	NA	NA	NA	NA	19.72	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Silvicultural	Wood	Block Wood	14.59	83.32	2.09	46.9	6.07	43.99	0.95	0	NA	18.261	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Processed Biomass	Mixed	Press Mud Briquettes	8.6	54.7	36.7	NA	NA	NA	NA	NA	NA	11.972	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Stems	Lantana Briquettes	11.9	20.8	67.3	NA	NA	NA	NA	NA	NA	7.687	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	"Hulls,Skins,Chaff"	Cotton Shell Briquettes	17.1	77.8	5.1	NA	NA	NA	NA	NA	NA	19.06	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Fiber	Coconut Coir	29.7	66.58	3.72	50.29	5.05	39.63	0.45	0.16	NA	20.05	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Stalk	Coconut Stem	23.1	74.4	2.5	NA	NA	NA	NA	NA	NA	19.44	NA	"Parikh, J., Channiwalab, S.A. & Ghosal, G.K. A correlation for calculating HHV from proximate analysis of solid fuels. Fuel 84, 487-494(2005)."
Agricultural	Shell	Almond Shells	20.71	76	3.29	49.3	5.97	40.64	0.76	0.04	0	19.49	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	"Hulls,Skins,Chaff"	Almond Hulls	20.07	73.8	6.13	47.5	5.97	39.18	1.13	0.06	0.02	18.88	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	Shell	Pistachio Shells	16.95	81.64	1.41	50.2	6.32	41.16	0.69	0.22	0	18.21	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	NA	Walnut Blows	16.82	80.82	2.36	53.65	6.5	36.05	1.34	0.1	0.02	22.33	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	NA	Walnut Hullls and Blows	17.47	79.58	2.95	53.51	6.52	35.38	1.53	0.11	0.02	22.19	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	Pits	Olive Pits	16.28	82	1.72	52.8	6.69	38.29	0.45	0.05	0.04	21.59	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	Pits	Prune Pits	17.8	80.79	1.41	49.26	6.59	41.83	0.84	0.07	0	20.09	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	Stalk	Alfalfa Stems	15.81	78.92	5.27	47.17	5.99	38.69	2.68	0.2	0.5	18.67	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	Stalk	Mint	19.42	69.8	10.78	45.22	5.52	35.76	2.47	0.25	0.43	17.65	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
Agricultural	Straw	Wheat Straw fr. Dakota	14.87	81.24	3.89	47.55	5.86	42.02	0.59	0.09	0.17	18.39	NA	"MILES, T., BAXTER, L., BRYERS, R., JENKINS, B. & ODEN, L. Alkali deposits found in biomass power plants: a preliminary investigation of their extent and nature. (1995)."
