Entity	Value	Units	Type	Source	Temperature
Fiber insulating board 	0.048	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Fiberglass 	0.040	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Fireclay brick 500oC 	1.400	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Foam glass 	0.045	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Freon (liquid) 	0.070	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Freon 12 (gas) 	0.073	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Gasoline 	0.150	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Glass 	1.050	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Glass, Pearls, dry "	0.180	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Glass, Pearls, saturated "	0.760	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Glass, window "	0.960	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Glass, wool Insulation "	0.040	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Glycerol 	0.280	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Gold 	310.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Gold 	310.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	225
Gold 	312.000	W/mK	range	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	125
Granite 	1.700	W/mK	minimum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Granite 	4.000	W/mK	maximum	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Gypsum or plaster board 	0.170	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Hairfelt 	0.050	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Hardboard high density 	0.150	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
"Hardwoods (oak, maple..) "	0.160	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
Helium (gas) 	0.142	W/mK	value	http://www.engineeringtoolbox.com/thermal-conductivity-d_429.html	25
