Entity	Value	Units	Source	Notes
1/8 NPT	0.0000831	m2	McMaster-Carr	converted
1/4 NPT	0.0001478	m2	McMaster-Carr	converted
3/8 NPT	0.0002309	m2	McMaster-Carr	converted
1/2 NPT	0.0003575	m2	McMaster-Carr	converted
3/4 NPT	0.0005586	m2	McMaster-Carr	converted
1 NPT	0.0008762	m2	McMaster-Carr	converted
1 1/2 NPT	0.0018292	m2	McMaster-Carr	converted
2 NPT	0.0028581	m2	McMaster-Carr	converted
