Entity	Value	Units	Phase	Notes	Source
Renewable Diesel I (SuperCetane)	46.62809189	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Renewable Diesel II (UOP-HDO)	46.81738353	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Renewable Gasoline	46.31380708	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Liquid Hydrogen	141.8010175	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Methyl tertiary butyl ether (MTBE)	37.95680024	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Ethyl tertiary butyl ether (ETBE)	39.24687328	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Tertiary amyl methyl ether (TAME)	39.3223791	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Butane	49.20994429	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Isobutane	49.09589389	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Isobutylene	48.23792612	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Propane	50.23546433	MJ/kg	Liquid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Coal	23.96761519	MJ/kg	Solid	wet basis	"Hydrogen Analysis Resource Center, from GREET 1.8b"
Bituminous coal	27.26740909	MJ/kg	Solid	wet basis	"Hydrogen Analysis Resource Center, from GREET 1.8b"
Coking coal	29.86526716	MJ/kg	Solid	wet basis	"Hydrogen Analysis Resource Center, from GREET 1.8b"
Farmed trees	20.58865638	MJ/kg	Solid	dry basis	"Hydrogen Analysis Resource Center, from GREET 1.8b"
Herbaceous biomass	18.12276309	MJ/kg	Solid	dry basis	"Hydrogen Analysis Resource Center, from GREET 1.8b"
Corn stover	17.41518674	MJ/kg	Solid	dry basis	"Hydrogen Analysis Resource Center, from GREET 1.8b"
Forest residue	16.4728138	MJ/kg	Solid	dry basis	"Hydrogen Analysis Resource Center, from GREET 1.8b"
Sugar cane bagasse	16.35479098	MJ/kg	Solid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
Petroleum coke	31.30776181	MJ/kg	Solid		"Hydrogen Analysis Resource Center, from GREET 1.8b"
CO	13.1	MJ/m3	Gas		"Handbook of Biomass Downdraft Gasifier Engine Systems, T.B. Reed and A. Das "
CO2	0	MJ/m3	Gas		"Handbook of Biomass Downdraft Gasifier Engine Systems, T.B. Reed and A. Das "
H2	13.1	MJ/m3	Gas		"Handbook of Biomass Downdraft Gasifier Engine Systems, T.B. Reed and A. Das "
O2	0	MJ/m3	Gas		"Handbook of Biomass Downdraft Gasifier Engine Systems, T.B. Reed and A. Das "
N2	0	MJ/m3	Gas		"Handbook of Biomass Downdraft Gasifier Engine Systems, T.B. Reed and A. Das "
CH4	41.2	MJ/m3	Gas		"Handbook of Biomass Downdraft Gasifier Engine Systems, T.B. Reed and A. Das "
