Entity	Value	Units	Phase	Notes	Source
Black Locust	5.472222222	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Black Locust	5.48	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Black Walnut Prunings	5.51	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Softwood Wood	5.513888889	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
White Fir	5.54	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Maple	5.54	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
"Wood Pellets, 0% MC"	5.56	kWh/kg	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Softwood Chips, 0% MC"	5.56	kWh/kg	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Wood, Bone Dry"	5.56	kWh/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Almond Prunings	5.56	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Ponderosa Pine	5.56	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Western Hemlock	5.57	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Pine Needles	5.59	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Hickory	5.6	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Walnut Shells	5.61	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Beech	5.66	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Poplar	5.76	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Peach Pits	5.78	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Newspaper	5.819444444	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Redwood	5.84	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Douglas Fir	5.85	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Loblolly Pine Bark	6.05	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
"Walnut Shells, 0% MC"	6.11	kWh/kg	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Peat, S-H3"	6.11	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Douglas Fir Bark	6.14	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Yellow Pine	6.19	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Oak Char (565C)	6.4	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Casuarina Char (950C)	7.53	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Waxed Cartons	7.583333333	kWh/kg	Solid		http://cta.ornl.gov/bedb/appendix_a/Heat_Content_Ranges_for_Various_Biomass_Fuels.xls
Eucalyptus Char (950C)	7.67	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
"Coal, bituminous/anthracite"	7.92	kWh/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Charcoal	8.33	kWh/kg	Solid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Coconut Shell Char (750C)	8.64	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Coal - Pittsburgh Seam	8.82	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Charcoal	9.55	kWh/kg	Solid		http://www.woodgas.com/proximat.htm
Low Energy Gas	0.94	kWh/m3	Gas	"Producer Gas, Low BTU Gas from Blast Furnace, Water Gas Process"	"T. Reed, 1979"
GEK gas	1.83	kWh/m3	Gas	"dry gas, GEK TOTTI using softwood chips at 10-15% MC dry basis"	http://www.gekgasifier.com/forums/showthread.php?t=393
Low Energy Gas	1.83	kWh/m3	Gas	Generator Gas from Air Gasification	"T. Reed, 1979"
Hydrogen	3	kWh/m3	Gas	burned in air	http://en.wikipedia.org/wiki/Energy_density (http://www.gov.pe.ca/photos/original/dev_solutions.pdf)
Medium Energy Gas	4.19	kWh/m3	Gas	"Town Gas, Syngas from Oxygen Gasification, Pyrolysis Gasification"	"T. Reed, 1979"
Biogas	6.81	kWh/m3	Gas	from Anaerobic Digestion	"T. Reed, 1979"
Natural gas	10.11	kWh/m3	Gas	(burned in air)	http://en.wikipedia.org/wiki/Energy_density
High Energy Gas	10.47	kWh/m3	Gas	Natural Gas from Oil/Gas Wells	"T. Reed, 1979"
Synthetic Natural Gas	10.47	kWh/m3	Gas	from Further Processing of MEG and Biogas	"T. Reed, 1979"
Methane	10.5	kWh/m3	Gas	"(1.013bar, 15¡C) (burned in air)"	http://en.wikipedia.org/wiki/Energy_density
Natural gas	10.64	kWh/m3	Gas		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
"Hydrogen, compressed at 700 bar"	1555.56	kWh/m3	Gas		http://en.wikipedia.org/wiki/Energy_density
Water at 100 m dam height	0.28	kWh/m3	Liquid		http://en.wikipedia.org/wiki/Energy_density
Methanol	4333.33	kWh/m3	Liquid		http://en.wikipedia.org/wiki/Energy_density
Ethanol	6500	kWh/m3	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Ethanol	6666.67	kWh/m3	Liquid		http://en.wikipedia.org/wiki/Energy_density
Biodiesel	9583.33	kWh/m3	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Gasoline	9722.22	kWh/m3	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
Diesel	10111.11	kWh/m3	Liquid		http://bioenergy.ornl.gov/papers/misc/energy_conv.html
"Softwood Chips, 0% MC"	944.44	kWh/m3	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Walnut Shells, 0% MC"	1289.44	kWh/m3	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
"Cord Wood, Oven Dry"	1666.67	kWh/m3	Solid	Assuming 20 MJ/kg	http://bioenergy.ornl.gov/papers/misc/energy_conv.html
"Wood Pellets, 0% MC"	3322.22	kWh/m3	Solid	"accounting for moisture content, HHV assumed"	http://gekgasifier.pbworks.com/Multi-fuel+Run+Comparison
Benzene	41.79	MJ/kg	Gas		http://www.woodgas.com/proximat.htm
Natural gas	53.6	MJ/kg	Gas	(burned in air)	http://en.wikipedia.org/wiki/Energy_density
Methane	55.6	MJ/kg	Gas	"(1.013bar, 15¡C) (burned in air)"	http://en.wikipedia.org/wiki/Energy_density
"Hydrogen, compressed at 700 bar"	143	MJ/kg	Gas		http://en.wikipedia.org/wiki/Energy_density
