Engine.Percent.Load	Exhaust	Jacket.Water	Lube.Oil	Net.Work	Radiation.etc
0	38.1	42	12.5	0	7.4
10	37.2	33.9	10.7	14.3	3.9
20	36.4	29	8.9	22.3	3.4
30	35.7	25.5	7.4	27.4	4
40	34.9	22.7	6.5	31.8	4.1
50	34	20.5	6.1	34.9	4.5
60	33.5	19.2	5.4	36.6	5.3
70	32.9	18.7	4.7	37.4	6.3
80	32.5	18.3	4.3	37.8	7.1
90	32.5	18	4.2	38	7.3
100	32.6	17.7	4.2	38	7.5
